GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREGSTE,G16PREOFUE,G16PREOWRI,G16USSRAYO,G16USSDHAS,G16USSLCHA,G16USSIDAY,G16USSOWRI,G16GOVRSUN,G16GOVDVAN,G16GOVLABR,G16GOVOWRI
33013PEMB01,33,013,PEMB01,1929.9745140008308,1822.383605043909,180.04295434769372,33.081696736158584,4.9722932470003665,77.634990072763,1922.872393907219,1919.8378896389547,80.07500062607856,106.25573818183497,6.992796069109211,1874.5553130768512,1894.727985297072,196.49776650413042,19.012332223188665
33013PITF01,33,013,PITF01,1139.4347862857646,701.271853507708,100.24853447930461,19.13684052876054,1.0025147870994469,40.27612131987543,1055.0845497729842,790.166810786449,45.407867013453846,67.68397061741634,3.002138662886251,1021.8361958578712,760.202980313689,135.1117759644022,9.085769117909024
33013SALI01,33,013,SALI01,491.20005627366896,289.5614994244672,25.16197972126622,9.017619188795791,5.268767823097973e-4,16.05945645858719,466.1250175328835,324.59006552439325,12.080252651340453,21.09668705181864,0.002944116976145723,444.1652461974191,338.5250262671079,0.23456669079388917,3.007776389379603
33013SUTT01,33,013,SUTT01,564.3041456193847,611.7822926347776,52.461079817839774,13.178966693554038,2.0035842850469705,0.22633696901185343,598.5025061334389,619.9433595747741,16.980907249608038,19.975898950319053,0.012746612346092694,580.2292392547703,616.0219280234558,48.331240521380295,0.013822477667827194
33013WARN01,33,013,WARN01,779.0593297311651,861.4855438730136,81.7994648316934,30.540928517131988,0.9856459372898639,34.456292661969876,816.421777716199,888.1559104691723,0.1183855069659093,0.10216524311659678,1.9655688200221149,770.1785178504683,899.8993715210453,61.16003344069146,1.9880979892427006
33013WEBS01,33,013,WEBS01,610.2477710644594,508.1327141851087,40.86840372509309,3.325077714060807,2.0102147092864895,25.36543729130682,593.6446742421393,533.4150532299801,21.99947907159111,30.999224818303862,0.020988458164237545,548.1576826345408,561.5368816082237,54.64638007752291,0.021284188625157966
33013WILM01,33,013,WILM01,341.3752866648994,497.59570401524275,39.8745899941458,1.007236203287671,0.9982203659709525,23.881718451613118,391.055746467337,484.72117208676167,11.97151941856686,10.999696146844096,0.9964683549560782,378.0962264263257,482.7195557104798,18.98937234822922,2.9893758326119664
330150RYE01,33,015,0RYE01,1579.4454205416832,2211.9369422380737,165.0548564983769,24.01308660074107,1.0015622171388936,80.02849559883677,1896.5098656034713,2086.9092625756552,43.020445171666914,39.02217903673722,2.0022822037182793,1982.5183771383067,1923.8608832067862,103.05143243088814,2.0026040767712363
33015ATKI01,33,015,ATKI01,2479.3247112491927,1596.758809693293,151.92651826922244,29.617416517496306,3.8175707170098665,59.15558801642767,2525.428017121189,1604.7525579127164,53.61910519693501,93.79625051882863,0.005834516933290141,2650.54369600666,1399.3922998930698,151.16439712537988,9.565082852991138
33015AUBU01,33,015,AUBU01,2041.4797154276955,1314.9902318547909,145.83959953148252,22.12198279480905,3.020488082284231,80.33328068525059,2096.7709386764222,1316.1901667063871,59.27358978792461,80.44373069972757,1.0156357047621531,2107.659110408674,1241.059306081293,137.67374804589113,12.073920772894704
33015BREN01,33,015,BREN01,1279.3520409433213,1156.0206931321447,122.15378820327895,19.151763981338714,3.014341456409845,30.435122392340777,1344.3322261879869,1145.5155915620387,46.44005355457863,55.69476188746393,0.015772104026658445,1383.3861650478154,1078.587807891108,94.06138024219449,4.075426644994766
33015CAND01,33,015,CAND01,1551.8876602224113,855.6948978437262,130.83033087378897,15.003615920016395,0.004711232797991492,46.01046065701055,1557.0129279927637,908.5083104265491,43.948811028514434,72.91638449280293,4.980397361814336,1538.0673952784778,907.36264931285,104.92990897595544,9.960794723628672
